Group,Experiment,Problem Space,tfree Mean,*Mfree Mean,tmall Mean,*Bmall Mean,
musa_malloc,normal_mem,1,0.00148,0.703403,0.00161767,0.684243,
musa_malloc,normal_mem,2,0.00127733,1.56592,0.001114,1.79676,
musa_malloc,normal_mem,4,0.00122467,3.27893,0.00108767,3.67763,
musa_malloc,normal_mem,8,0.00124267,6.45057,0.00113433,7.06083,
musa_malloc,normal_mem,16,0.00124833,12.8695,0.001115,14.3617,
musa_malloc,normal_mem,32,0.00126133,25.4528,0.001119,28.6128,
musa_malloc,normal_mem,64,0.00117833,54.3169,0.001106,57.9091,
musa_malloc,normal_mem,128,0.00126767,101.125,0.00109267,117.145,
musa_malloc,normal_mem,256,0.00121433,210.881,0.00113767,225.124,
musa_malloc,normal_mem,512,0.00122833,417.029,0.001097,466.765,
musa_malloc,normal_mem,1024,0.001212,845.974,0.00111533,918.778,
musa_malloc,normal_mem,2048,0.00125367,1634.61,0.00111367,1840.72,
musa_malloc,normal_mem,4096,0.00119133,3441.3,0.001102,3717.09,
musa_malloc,normal_mem,8192,0.00119733,6844.09,0.00111233,7371.57,
musa_malloc,normal_mem,16384,0.001216,13484.4,0.00109833,14919.3,
musa_malloc,normal_mem,32768,0.00121533,26995.8,0.00108633,30164.6,
musa_malloc,normal_mem,65536,0.001254,52263,0.00112233,58396.1,
musa_malloc,normal_mem,131072,0.00121433,107987,0.001095,119713,
musa_malloc,normal_mem,262144,0.00125133,210440,0.001127,232749,
musa_malloc,normal_mem,524288,0.00125567,417817,0.00114967,456791,
musa_malloc,normal_mem,1048576,0.00121767,862785,0.001106,948547,
musa_malloc,normal_mem,2097152,0.129716,18726,0.0275637,83790.3,
musa_malloc,normal_mem,4194304,0.088241,47542.1,0.021724,194315,
musa_malloc,normal_mem,8388608,0.0846947,99114.8,0.0231213,364419,
musa_malloc,normal_mem,16777216,0.089363,188010,0.0232643,741504,
musa_malloc,normal_mem,33554432,0.0851157,394270,0.024153,1.49655e+06,
musa_malloc,normal_mem,67108864,0.0888343,756361,0.01973,3.40932e+06,
musa_malloc,normal_mem,134217728,0.0874973,1.53478e+06,0.019767,6.79544e+06,
musa_malloc,normal_mem,268435456,0.090651,2.96121e+06,0.0228203,1.18417e+07,
musa_malloc,normal_mem,536870912,0.0939433,5.71699e+06,0.028691,1.93786e+07,
musa_malloc,normal_mem,1073741824,0.104302,1.03481e+07,0.130557,2.71654e+07,
musa_malloc,normal_mem,2147483648,0.126442,1.7011e+07,0.196779,1.09366e+07,
musa_malloc,normal_mem,4294967296,0.148157,2.92714e+07,0.206768,2.0856e+07,
musa_malloc,pinned_mem,1,0.178656,0.00560095,0.087737,0.0182984,
musa_malloc,pinned_mem,2,0.177016,0.0112985,0.0381737,0.0524339,
musa_malloc,pinned_mem,4,0.176212,0.0227,0.037658,0.106279,
musa_malloc,pinned_mem,8,0.17516,0.0456761,0.0387277,0.208915,
musa_malloc,pinned_mem,16,0.177804,0.0900002,0.0362467,0.441432,
musa_malloc,pinned_mem,32,0.178258,0.179566,0.0372077,0.860559,
musa_malloc,pinned_mem,64,0.176688,0.362221,0.0366247,1.7475,
musa_malloc,pinned_mem,128,0.17636,0.72579,0.0362063,3.53548,
musa_malloc,pinned_mem,256,0.185518,1.38636,0.035909,7.13017,
musa_malloc,pinned_mem,512,0.179488,2.85433,0.0361427,14.1662,
musa_malloc,pinned_mem,1024,0.174937,5.85414,0.036213,28.2804,
musa_malloc,pinned_mem,2048,0.176464,11.6058,0.0376897,54.524,
musa_malloc,pinned_mem,4096,0.176777,23.171,0.0354903,115.416,
musa_malloc,pinned_mem,8192,0.181067,45.2853,0.0413963,198.035,
musa_malloc,pinned_mem,16384,0.180663,90.7034,0.0423707,387.104,
musa_malloc,pinned_mem,32768,0.182124,179.928,0.0454313,723.66,
musa_malloc,pinned_mem,65536,0.185412,353.486,0.0579893,1148.54,
musa_malloc,pinned_mem,131072,0.196156,669.392,0.0674217,1958.97,
musa_malloc,pinned_mem,262144,0.192798,1359.75,0.110312,2572.95,
musa_malloc,pinned_mem,524288,0.212926,2465.08,0.172985,3231.05,
musa_malloc,pinned_mem,1048576,0.272957,4017.67,0.294812,3664.64,
musa_malloc,pinned_mem,2097152,0.178994,11731.2,0.480662,4695.05,
musa_malloc,pinned_mem,4194304,0.183401,22893,0.887244,4814.02,
musa_malloc,pinned_mem,8388608,0.198108,42398.6,1.47917,5763.44,
musa_malloc,pinned_mem,16777216,0.224979,74670.2,2.88255,5919.78,
musa_malloc,pinned_mem,33554432,0.26794,125417,5.9154,5750.03,
musa_malloc,pinned_mem,67108864,0.394112,170679,13.0009,5170.14,
musa_malloc,pinned_mem,134217728,0.616439,217739,37.5031,3627.15,
musa_malloc,pinned_mem,268435456,1.49707,184153,82.9812,3253.87,
musa_malloc,pinned_mem,536870912,2.10248,262937,143.334,3797.41,
musa_malloc,pinned_mem,1073741824,2.29408,468064,170.837,6286.56,
musa_malloc,pinned_mem,2147483648,8.20388,282984,498.269,4629.15,
musa_malloc,pinned_mem,4294967296,15.0848,302200,1188,3733.54,
