Group,Experiment,Problem Space,*D3D8 Mean,*D2D8 Mean,*D1D8 Mean,
memSet,setVal,1,0.0249759,6.3202,0.0182894,
memSet,setVal,2,0.0654338,8.08983,0.0495619,
memSet,setVal,4,0.0977175,5.94217,0.101722,
memSet,setVal,8,0.281395,8.83716,0.285662,
memSet,setVal,16,0.570945,141.735,0.58317,
memSet,setVal,32,1.07651,147.425,1.16876,
memSet,setVal,64,2.32008,141.91,2.39167,
memSet,setVal,128,4.48755,135.679,4.98963,
memSet,setVal,256,9.44278,135.822,9.7835,
memSet,setVal,512,19.0411,133.073,18.2652,
memSet,setVal,1024,13.7215,143.557,37.7222,
memSet,setVal,2048,28.079,136.302,75.0476,
memSet,setVal,4096,56.5646,138.277,141.841,
memSet,setVal,8192,114.898,257.796,281.853,
memSet,setVal,16384,229.829,577.607,578.874,
memSet,setVal,32768,467.698,1187.24,1196.72,
memSet,setVal,65536,902.162,2375.8,2349.08,
memSet,setVal,131072,1851.15,4736,4731.29,
memSet,setVal,262144,3695.58,9542.1,9264.98,
memSet,setVal,524288,7231.64,18395.6,19098.4,
memSet,setVal,1048576,13488.3,34963.2,34456,
memSet,setVal,2097152,21658.8,46264.9,36786.3,
memSet,setVal,4194304,41733.7,73993.4,103547,
memSet,setVal,8388608,73537.9,187912,173173,
memSet,setVal,16777216,96554.8,367308,308159,
memSet,setVal,33554432,162707,684557,645727,
memSet,setVal,67108864,191337,601428,635480,
memSet,setVal,134217728,213576,659664,678696,
memSet,setVal,268435456,213976,726418,723420,
memSet,setVal,536870912,211728,731764,737517,
memSet,setVal,1073741824,222089,743609,750291,
memSet,setVal,2147483648,221838,754057,754103,
memSet,setVal,4294967296,219167,758703,759533,
