Group,Experiment,Problem Space,*t+/t| Mean,t1|2 Mean,t|2 Mean,t|1 Mean,t1+2 Mean,t+2 Mean,t+1 Mean,
Parallelism,DtoD_DtoD,1073741824,0.574183,10.7659,10.5479,10.548,6.18159,2.99808,3.00824,
Parallelism,DtoD_DtoPH,1073741824,1.0583,38.4797,38.2906,3.02712,40.7231,37.6453,2.9022,
Parallelism,DtoD_PHtoD,1073741824,1.06158,38.4002,37.8062,3.00872,40.765,37.6448,2.94024,
Parallelism,DtoD_SET,1073741824,0.893848,5.4979,2.50119,5.46527,4.91429,1.37854,3.49056,
Parallelism,DtoD_CBK,1073741824,0.853605,8.16175,6.96129,8.13054,6.96691,3.4464,3.47488,
Parallelism,DtoD_MBK,1073741824,0.987987,10.6992,10.6682,4.64818,10.5707,7.20833,3.32144,
Parallelism,DtoPH_DtoPH,1073741824,0.99258,76.0655,75.4528,74.4911,75.5011,37.6596,37.6601,
Parallelism,DtoPH_PHtoD,1073741824,1.83029,42.2262,42.0389,41.2791,77.2861,39.4654,37.6451,
Parallelism,DtoPH_SET,1073741824,1.01746,38.3669,1.67822,37.7911,39.0369,1.21389,37.6448,
Parallelism,DtoPH_CBK,1073741824,1.07511,38.3518,3.99729,37.7408,41.2325,3.41068,37.6422,
Parallelism,DtoPH_MBK,1073741824,1.15674,38.3086,7.03593,37.7316,44.313,6.49052,37.6453,
Parallelism,PHtoD_PHtoD,1073741824,1.00873,78.3936,77.7787,77.7796,79.0779,39.4519,39.4505,
Parallelism,PHtoD_SET,1073741824,1.02145,40.0875,1.4109,39.5114,40.9473,1.32138,39.4515,
Parallelism,PHtoD_CBK,1073741824,1.07368,40.094,3.65777,39.4875,43.0481,3.42048,39.4538,
Parallelism,PHtoD_MBK,1073741824,1.18901,40.119,8.77539,39.5429,47.7018,8.07002,39.4553,
Parallelism,SET_SET,1073741824,1.0519,2.74872,2.70684,2.716,2.89139,1.43514,1.41194,
Parallelism,SET_CBK,1073741824,0.938756,5.20388,5.17395,2.49147,4.88518,3.42952,1.41022,
Parallelism,SET_MBK,1073741824,0.894913,9.70575,9.67529,2.48907,8.6858,7.34453,1.29894,
Parallelism,CBK_CBK,1073741824,0.986647,7.03329,7.00233,3.72757,6.93938,3.48312,3.41024,
Parallelism,CBK_MBK,1073741824,1.01671,10.4261,10.3946,4.16249,10.6003,7.15709,3.39792,
Parallelism,MBK_MBK,1073741824,1.18913,12.0636,12.0253,11.8957,14.3452,7.12813,7.17205,
