Group,Experiment,Problem Space,*TP(s^-1) Mean,tAll(ms) Mean,tAll(ms) Min,tAll(ms) Max,tPer(us) Mean,LaunchCnt Mean,
mulStreams,nullkernel,1,338120,0.0948552,0.090121,0.110241,2.96423,32,
mulStreams,nullkernel,2,229353,0.345499,0.089721,1.79807,10.7968,32,
mulStreams,nullkernel,3,177301,0.382934,0.090761,2.155,11.9667,32,
mulStreams,nullkernel,4,209768,0.288004,0.091361,2.49316,9.00012,32,
mulStreams,nullkernel,5,182765,0.287133,0.091562,2.34204,8.9729,32,
mulStreams,nullkernel,6,190793,0.239925,0.094361,1.63701,7.49767,32,
mulStreams,nullkernel,7,186128,0.301655,0.092201,2.17333,9.42673,32,
mulStreams,nullkernel,8,179647,0.339098,0.090361,2.19705,10.5968,32,
mulStreams,nullkernel,9,159050,0.502473,0.090641,2.18895,15.7023,32,
mulStreams,nullkernel,10,156095,0.450698,0.091361,2.26205,14.0843,32,
mulStreams,nullkernel,11,160949,0.48407,0.092081,2.40469,15.1272,32,
mulStreams,nullkernel,12,154995,0.514602,0.090842,2.4189,16.0813,32,
mulStreams,nullkernel,13,132769,0.642691,0.090321,2.66629,20.0841,32,
mulStreams,nullkernel,14,143741,0.620488,0.091881,2.53498,19.3903,32,
mulStreams,nullkernel,15,157124,0.47987,0.091801,2.65855,14.9959,32,
mulStreams,nullkernel,16,156305,0.473701,0.089841,2.20252,14.8031,32,
mulStreams,nullAndRecord,1,105543,0.30948,0.261924,0.427586,9.67124,32,
mulStreams,nullAndRecord,2,71341.9,0.704902,0.264123,2.26969,22.0282,32,
mulStreams,nullAndRecord,3,65731.9,0.772824,0.262603,2.46857,24.1507,32,
mulStreams,nullAndRecord,4,71045.7,0.636597,0.263924,2.67147,19.8936,32,
mulStreams,nullAndRecord,5,64528.5,0.788588,0.262843,2.49138,24.6434,32,
mulStreams,nullAndRecord,6,64925,0.750103,0.265443,2.45747,23.4407,32,
mulStreams,nullAndRecord,7,65526.8,0.763481,0.262163,2.74911,23.8588,32,
mulStreams,nullAndRecord,8,65337.8,0.767052,0.264203,2.45738,23.9704,32,
mulStreams,nullAndRecord,9,66415,0.735076,0.262564,2.23159,22.9711,32,
mulStreams,nullAndRecord,10,65204,0.710326,0.261803,2.33279,22.1977,32,
mulStreams,nullAndRecord,11,72378.7,0.633706,0.259363,2.44755,19.8033,32,
mulStreams,nullAndRecord,12,66332.3,0.723161,0.262883,2.71438,22.5988,32,
mulStreams,nullAndRecord,13,62235.6,0.803936,0.264403,2.82418,25.123,32,
mulStreams,nullAndRecord,14,68593.5,0.76994,0.272803,2.64894,24.0606,32,
mulStreams,nullAndRecord,15,61366.9,0.851519,0.272283,2.70249,26.61,32,
mulStreams,nullAndRecord,16,63713.6,0.851082,0.266644,2.91335,26.5963,32,
